LUMINAL FINDINGS PER ORGAN,,,,,,,
,,,,,,,
,,,,,,,
,,Esoph,Stomach,Duod,Jej,Ileum,Colon
,,,,,,,
Lumen,Dilation,x,x,x,x,x,x
,Stenosis,x,x,x,x,x,x
,Extrinsic compression,x,x,x,x,x,x
,Diverticulum,x,x,x,x,x,x
,Previous surgery,x,x,x,x,x,x
,Deformity,,x,x,,,
,Ring/web,x,,,,,
,Hiatal hernia,x,x,,,,
,Z-line,x,,,,,
,,,,,,,
Contents,Foreign body,x,x,x,x,x,x
,Blood,x,x,x,x,x,x
,Food,x,x,x,x,x,
,Bezoar,x,x,,,,
,Fluid,x,x,x,x,x,x
,Parasites,x,x,x,x,x,x
,Stent,x,x,x,x,x,x
,Rubber band,x,x,,,,
,Metal Clip,x,x,x,x,x,x
,Gastrostomy,,x,,,,
,Faeces,,,,,,x
,Exudate,x,x,x,x,x,x
,,,,,,,
Mucosa,Erythematous,x,x,x,x,x,x
,Edematous,x,x,x,x,x,x
,Granular,,x,x,x,x,x
,Nodular,x,x,x,x,x,x
,Friable,,x,x,x,x,x
,Hemorrhagic,x,x,x,x,x,x
,(Petechial),,x,x,x,x,x
,Atrophic,,x,x,x,x,x
,Scarring,x,x,x,x,x,x
,Barretts esophagus,x,,,,,
,Esophagitis,x,,,,,
,Candidosis,x,,,,,
,Scalloping,,,x,x,,
,Path.  vascular pattern,x,x,x,x,x,x
,Ulcerated mucosa,x,x,x,x,x,x
,Pseudomembranes,,,,,,x
,Melanosis,,,,,,x
,,,,,,,
Flat lesions,Angiectasia,,x,x,x,x,x
,Ectopic gastric mucosa,x,,,,,
,Dieulafoy lesion,,x,x,X,X,x
,Flat/elevated superficial lesion,X,X,X,X,X,x
,,,,,,,
,,,,,,,
,,,,,,,
Protruding lesions,Nodule,x,x,x,x,x,x
,Polyp,x,x,x,x,x,x
,Tumor/mass,x,x,x,x,x,x
,Varices,x,x,x,x,x,x
,Enlarged folds,,x,,,,
,Ectopic pancreas,,x,x,,,
,Enlarged Brunners glands,,,x,,,
,Hemorrhoids,,,,,,x
,,,,,,,
Excavated lesions,Erosion,x,x,x,x,x,x
,Depressed superficial lesion,X,X,X,X,X,x
,Ulcer,x,x,x,x,x,x
,Scar,x,x,x,x,x,x
,Fistula,x,x,x,x,x,x
,Perforation,x,x,x,x,x,x
,Mallory-Weiss tear,x,,,,,
,Anal fissure,,,,,,x
